"Date","Price","Open","High","Low","Change %"
"01/04/2016","2.243","2.293","2.293","2.200","-1.15%"
"01/05/2016","2.239","2.241","2.266","2.223","-0.18%"
"01/06/2016","2.170","2.236","2.244","2.168","-3.08%"
"01/07/2016","2.149","2.183","2.200","2.119","-0.97%"
"01/08/2016","2.116","2.154","2.225","2.112","-1.54%"
"01/11/2016","2.175","2.126","2.179","2.126","2.79%"
"01/12/2016","2.105","2.175","2.200","2.080","-3.22%"
"01/13/2016","2.091","2.117","2.151","2.042","-0.67%"
"01/14/2016","2.091","2.077","2.122","2.049","0.00%"
"01/15/2016","2.037","2.101","2.101","1.986","-2.58%"
"01/18/2016","2.045","2.042","2.047","2.042","0.40%"
"01/19/2016","2.056","2.047","2.087","2.021","0.53%"
"01/20/2016","1.988","2.056","2.056","1.939","-3.31%"
"01/21/2016","2.028","1.996","2.035","1.956","2.01%"
"01/22/2016","2.057","2.035","2.089","2.014","1.43%"
"01/25/2016","2.006","2.059","2.064","2.003","-2.48%"
"01/26/2016","2.003","2.005","2.027","1.961","-0.15%"
"01/27/2016","2.003","1.989","2.053","1.980","0.00%"
"01/28/2016","1.982","1.996","2.038","1.971","-1.05%"
"01/29/2016","1.923","1.987","1.992","1.911","-2.98%"
"02/01/2016","1.950","1.933","1.966","1.905","1.40%"
"02/02/2016","1.852","1.943","1.952","1.847","-5.03%"
"02/03/2016","1.883","1.850","1.896","1.793","1.67%"
"02/04/2016","1.846","1.883","1.910","1.841","-1.96%"
"02/05/2016","1.843","1.848","1.896","1.825","-0.16%"
"02/08/2016","1.748","1.853","1.870","1.733","-5.14%"
"02/09/2016","1.731","1.745","1.767","1.682","-0.98%"
"02/10/2016","1.673","1.736","1.774","1.670","-3.34%"
"02/11/2016","1.664","1.681","1.683","1.530","-0.54%"
"02/12/2016","1.746","1.663","1.758","1.647","4.94%"
"02/15/2016","1.772","1.746","1.777","1.746","1.48%"
"02/16/2016","1.779","1.772","1.803","1.743","0.39%"
